,name,floorSize,price,lat,lng
60," 8400 Pershing Dr Playa Del Rey, CA 90293 ","10,552 sqft","$4,500,000",33.957317,-118.442825
61," 564 N Virgil Ave Los Angeles, CA 90004 ","3,074 sqft","$1,560,000",34.0813,-118.286446
62," 9927 Paseo Montril San Diego, CA 92129 ","1,341 sqft","$525,000",32.950188,-117.1093
63," 1220 S Macduff St Anaheim, CA 92804 ","1,412 sqft","$499,700",33.817142,-117.98158
64," 13700 Marina Pointe Dr #1402 Venice, CA 90292 ","1,630 sqft","$2,410,000",33.98457,-118.44539
65," 21126 Merridy St Chatsworth, CA 91311 ","2,334 sqft","$621,340",34.252,-118.59391
66," 4910 Paramount Dr San Diego, CA 92123 ","1,695 sqft","$585,000",32.827316,-117.13587
67," 5922 Firefly Pl Playa Vista, CA 90094 ","4,288 sqft","$3,998,888",33.976147,-118.41455
68," 944 W Myrtle St Santa Ana, CA 92703 ","1,430 sqft","$527,000",33.74152,-117.87827
69," 5893 Embee Dr San Jose, CA 95123 ","2,008 sqft","$799,929",37.244114,-121.813805
70," 1640 Sunnyside Ter San Pedro, CA 90732 ","2,292 sqft","$1,155,000",33.729004,-118.307884
71," 1378 Cristina Ave San Jose, CA 95125 ","1,093 sqft","$1,148,888",37.307068,-121.892494
72," 6078 Calle De Amor San Jose, CA 95124 ","2,235 sqft","$998,000",37.22801,-121.90608
73," 6149 Oasis Ave Bakersfield, CA 93307 ","2,452 sqft","$375,000",35.318832,-118.935684
74," 2405 32nd Ave San Francisco, CA 94116 ","4,000 sqft","$2,500,000",37.742004,-122.48992
75," 758 Hartford Ave Los Angeles, CA 90017 ","2,352 sqft","$1,595,000",34.050594,-118.268135
76," 11813 Runnymede St #31 North Hollywood, CA 91605 ",700 sqft,"$193,000",34.206234,-118.39103
77," 10833 Jurupa Rd Mira Loma, CA 91752 ","1,097 sqft","$285,039",33.992943,-117.520485
78," 502 Anita St #14 Chula Vista, CA 91911 ",960 sqft,"$59,900",32.599598,-117.07331
79," 1611 S Wooster St Los Angeles, CA 90035 ","7,000 sqft","$3,595,000",34.050007,-118.383575
80," 7501 Shirley Ave Reseda, CA 91335 ","1,180 sqft","$899,999",34.2066,-118.55849
81," 2427 Mission Rd Stockton, CA 95204 ","1,331 sqft","$288,000",37.967873,-121.323784
82," 10423 Tuxford St La Tuna Canyon, CA 91352 ","2,146 sqft","$1,265,000",34.235794,-118.358284
83," 6250 Hollywood Blvd #14A Los Angeles, CA 90028 ","3,270 sqft","$3,600,000",34.10063,-118.32587
84," 20615 W Chestnut Cir Porter Ranch, CA 91326 ","2,168 sqft","$979,995",34.2751,-118.573
85," 135 S Hampton St Anaheim, CA 92804 ","1,339 sqft","$576,000",33.83076,-117.97279
86," 1000 Figueroa St #23 Wilmington, CA 90744 ","17,400 sqft","$179,000",33.78222,-118.27907
87," 4520 Helens Oaks Cir Stockton, CA 95210 ","2,227 sqft","$347,900",37.994526,-121.28729
88," 837 Junipero Serra Dr Stockton, CA 95210 ","1,278 sqft","$295,000",38.035,-121.32188
89," 718 W 28th St San Pedro, CA 90731 ","2,500 sqft","$889,900",33.719044,-118.292145
90," 11949 N Julie Ave Fresno, CA 93730 ","2,893 sqft","$683,950",36.909607,-119.74088
91," 6950 E Avenida De Santiago Anaheim, CA 92807 ","5,000 sqft","$2,450,000",33.832794,-117.74789
92," 2650 Thrasher Ln San Jose, CA 95125 ","1,523 sqft","$1,058,421",37.27738,-121.8928
93," 1986 42nd Ave San Francisco, CA 94116 ","1,214 sqft","$998,000",37.749718,-122.50063
94," 50 Norwich Irvine, CA 92620 ","1,685 sqft","$879,888",33.70355,-117.740166
95," Residence 2 Plan in Asana by DeNova Homes San Jose, CA 95122 ","2,839 sqft","$1,190,000+",37.32245,-121.81322
96," 1119 Albany St #332 Los Angeles, CA 90015 ",797 sqft,"$385,000",34.045998,-118.27259
97," 503 E Barrymore St Stockton, CA 95204 ","1,279 sqft","$221,312",37.986813,-121.29569
98," 2036 Michael Ave Stockton, CA 95206 ","1,052 sqft","$259,950",37.925335,-121.25071
99," 6401 Bell Bluff Ave San Diego, CA 92119 ",806 sqft,"$340,000",32.81706,-117.057175
100," 2038 E 15th St Oakland, CA 94606 ","1,221 sqft","$399,000",37.78639,-122.23826
101," 321 10th Ave San Diego, CA 92101 ","1,077 sqft","$1,099,000",32.708847,-117.155075
102," 6339 Smith Ave Mira Loma, CA 91752 ","1,778 sqft","$515,000",33.973335,-117.53682
103," 1200 California St #16A San Francisco, CA 94109 ","1,450 sqft","$1,995,000",37.79167,-122.41453
104," 6171 Rancho Mission Rd #317 San Diego, CA 92108 ",866 sqft,"$355,000",32.785564,-117.10907
105," 53 Farmhand Irvine, CA 92602 ","2,515 sqft","$1,230,000",33.734055,-117.7579
106," 11717 Campus Park Dr Bakersfield, CA 93311 ","1,911 sqft","$344,900",35.31861,-119.13284
107," 449 Parker Ave San Francisco, CA 94118 ","5,150 sqft","$5,300,000",37.778465,-122.453865
108," 11925 Balboa Blvd Granada Hills, CA 91344 ","2,982 sqft","$1,083,000",34.288246,-118.50242
109," 1810 S Berendo St Los Angeles, CA 90006 ","5,649 sqft","$1,799,000",34.041042,-118.29314
110," 3602 Chatsworth Ct Stockton, CA 95209 ","1,674 sqft","$345,000",38.03599,-121.361
111," 252 9th St #202 San Francisco, CA 94103 ",715 sqft,"$799,000",37.774128,-122.41252
112," 13165 Sayre St Sylmar, CA 91342 ","1,357 sqft","$675,000",34.322876,-118.41991
113," 5906 Etiwanda Ave #2 Tarzana, CA 91356 ","1,060 sqft","$499,000",34.177822,-118.53023
114," 4335 Normal Ave Los Angeles, CA 90029 ","1,069 sqft","$749,000",34.08696,-118.29049
115," 13103 Old Sycamore Dr San Diego, CA 92128 ","2,081 sqft","$865,000",32.95498,-117.09362
116," 512 Telegraph Canyon Rd #G Chula Vista, CA 91910 ","1,186 sqft","$349,000",32.62781,-117.0414
117," 5028 Woodley Ave Encino, CA 91436 ","4,154 sqft","$2,300,000",34.16069,-118.483025
118," 8117 Westlawn Ave Los Angeles, CA 90045 ","3,446 sqft","$2,369,000",33.965164,-118.408424
119," 843 N Coronado St Los Angeles, CA 90026 ","2,664 sqft","$1,450,000",34.077816,-118.270164
120," 22601 Gilmore St West Hills, CA 91307 ","1,570 sqft","$625,000",34.18761,-118.6192
121," 1702 La Loma Dr Santa Ana, CA 92705 ","4,207 sqft","$2,448,000",33.755184,-117.78914
122," 2115 Bush St San Francisco, CA 94115 ","3,500 sqft","$4,950,000",37.78687,-122.432396
123," 51 Innes Ct #204 San Francisco, CA 94124 ","1,190 sqft","$899,000",37.726986,-122.36888
124," 16027 Leadwell St Van Nuys, CA 91406 ","1,040 sqft","$529,950",34.20417,-118.48253
125," 7421 McLennan Ave Lake Balboa, CA 91406 ","2,700 sqft","$820,000",34.205227,-118.5002
