,name,floorSize,price,lat,lng
58,"511 Museum Dr, Los Angeles, CA 90065",770 sqft,"$899,000",34.1045058,-118.2096624
59,"905 N Beverly Glen Blvd, Los Angeles, CA 90077",736 sqft,"$999,999",34.0942657,-118.4404684
60,"6354 Warner Dr, Los Angeles, CA 90048","1,975 sqft","$2,395,000",34.0626011,-118.3682005
61,"2486 Moreno Dr, Los Angeles, CA 90039","1,817 sqft",$1.75M,34.1066554,-118.2689652
62,"9133 Oriole Way, West Hollywood, CA 90069",-- sqft,"$29,995,000",34.0968943,-118.388825
63,"6400 Primrose Ave APT 4, Los Angeles, CA 90068",787 sqft,"$529,000",34.1097005,-118.3292965
64,"8920 Cadillac Ave, Los Angeles, CA 90034","1,816 sqft","$999,000",34.040426,-118.3854605
65,"6414 Ruby St, Los Angeles, CA 90042","1,457 sqft","$1,495,000",33.8337908,-118.3701729
66,"364 S Miraleste Dr UNIT 364, San Pedro, CA 90732","1,272 sqft","$528,000",33.739072,-118.31862
67,"1 Bode Dr, Los Angeles, CA 90069","10,000 sqft","$19,990,000",34.087855,-118.383408
68,"12708 Daventry St, Pacoima, CA 91331","1,389 sqft","$624,999",34.2640018,-118.4376398
69,"6207 Balcom Ave, Encino, CA 91316","1,541 sqft","$1,195,000",34.182057,-118.520472
70,"20300 Vanowen St APT 11, Winnetka, CA 91306","1,824 sqft","$739,000",34.193713,-118.57549
71,"12031 Allin St, Los Angeles, CA 90230","1,754 sqft","$1,695,000",33.9910385,-118.4137227
72,"2218 Naomi Ave, Los Angeles, CA 90011","1,895 sqft","$460,000",34.0199376,-118.2506207
73,"2412 Norwalk Ave, Los Angeles, CA 90041","2,827 sqft","$2,199,000",34.1338697,-118.2209374
74,"24000 Strathern St, Canoga Park, CA 91304","3,064 sqft","$1,275,000",34.214974,-118.650255
75,"14115 Moorpark St APT 102, Sherman Oaks, CA 91423","1,250 sqft","$699,000",34.1505413,-118.4404992
76,"1412 1/2 N Serrano Ave, Los Angeles, CA 90027",688 sqft,"$390,000",34.108018,-118.3071873
77,"5524 Matilija Ave, Sherman Oaks, CA 91401","2,675 sqft","$2,195,000",34.1517572,-118.4340443
78,"1871 N Stanley Ave, Los Angeles, CA 90046","10,365 sqft","$24,995,000",34.1039916,-118.3574686
79,"12615 Westminster Ave, Los Angeles, CA 90066","3,618 sqft","$3,995,000",34.0076563,-118.4407156
80,"932 Rose Ave, Venice, CA 90291","1,955 sqft","$2,395,000",34.0031297,-118.4642843
81,"1558 Rising Glen Rd, Los Angeles, CA 90069","4,348 sqft","$7,650,000",34.0997558,-118.3841574
82,"14315 Riverside Dr UNIT 114, Sherman Oaks, CA 91423","1,182 sqft","$635,000",34.1579287,-118.4448906
83,"9570 Hidden Valley Rd, Beverly Hills, CA 90210","5,427 sqft","$19,475,000",34.121379,-118.403987
84,"12012 Bambi Pl, Granada Hills, CA 91344","2,155 sqft","$1,349,900",34.2889629,-118.5072653
85,"11400 Sunshine Ter, Studio City, CA 91604","7,600 sqft","$12,000,000",34.138921,-118.37917
86,"1642 Lindacrest Dr, Beverly Hills, CA 90210","3,744 sqft","$4,150,000",34.1008691,-118.4047034
87,"7600 Earldom Ave, Playa Del Rey, CA 90293","2,533 sqft","$2,349,000",33.9528787,-118.4419859
88,"4764 S La Villa Mari UNIT J, Marina Del Rey, CA 90292","1,932 sqft","$1,199,000",33.981363,-118.434891
89,"3862 Woodfield Dr, Sherman Oaks, CA 91403","2,143 sqft","$1,999,000",34.141273,-118.473625
90,"630 Westminster Ave, Venice, CA 90291",788 sqft,"$1,795,000",33.9943182,-118.4667077
91,"17809 Martha St, Encino, CA 91316","1,270 sqft","$1,024,900",34.173177,-118.520397
92,"8661 Vine Valley Dr, Sun Valley, CA 91352","1,921 sqft","$1,100,000",34.226596,-118.358765
93,"310 Washington Blvd UNIT 101, Marina Del Rey, CA 90292","2,090 sqft","$1,799,500",33.980373,-118.464426
94,"1723 Rising Glen Rd, Los Angeles, CA 90069","5,521 sqft","$13,700,000",34.103556,-118.3837399
95,"23100 Strathern St, Canoga Park, CA 91304","1,165 sqft","$875,000",34.21492,-118.630271
96,"14607 Erwin St UNIT 107, Van Nuys, CA 91411","1,087 sqft","$425,000",34.1837179,-118.4511604
97,"18920 Malden St, Northridge, CA 91324","1,753 sqft","$949,900",34.225428,-118.5450373
98,"1217 Elm St, Venice, CA 90291","1,525 sqft","$2,499,000",33.9922978,-118.4487097
99,"7125 White Oak Ave, Reseda, CA 91335","2,016 sqft","$885,000",34.201243,-118.518511
100,"8923 S Hoover St, Los Angeles, CA 90044","1,020 sqft","$649,500",33.9560856,-118.2870542
101,"8819 Debra Ave, North Hills, CA 91343","1,296 sqft","$800,000",34.2309252,-118.4906987
102,"11121 Queensland St UNIT D27, Los Angeles, CA 90034",854 sqft,"$565,000",34.02446,-118.4249278
103,"3921 Wawona St, Los Angeles, CA 90065","1,644 sqft","$1,299,000",34.1266961,-118.2337912
104,"448 N Laurel Ave, Los Angeles, CA 90048","2,297 sqft","$2,395,000",34.0791506,-118.3646819
105,"16948 Livorno Dr, Pacific Palisades, CA 90272","3,198 sqft","$4,495,000",34.0431441,-118.547728
106,"7235 Yarmouth Ave, Reseda, CA 91335","1,120 sqft","$749,000",34.201687,-118.519753
107,"5611 Park Oak Pl, Los Angeles, CA 90068","3,946 sqft","$4,399,000",34.1171303,-118.3113972
108,"22400 Bessemer St, Woodland Hills, CA 91367","2,403 sqft","$1,224,000",34.180134,-118.614756
109,"5836 Winnetka Ave, Woodland Hills, CA 91367","2,460 sqft","$1,890,000",34.176533,-118.570988
110,"15460 Blucher Ct, Van Nuys, CA 91411","1,177 sqft","$899,000",34.184042,-118.4713185
111,"3665 May St, Los Angeles, CA 90066","2,467 sqft","$2,900,000",34.0044954,-118.4415452
112,"6629 De Celis Pl, Van Nuys, CA 91406","1,437 sqft","$929,000",34.1908684,-118.4943543
113,"5042 Encino Ave, Encino, CA 91316","4,157 sqft","$3,554,000",34.162625,-118.5140734
114,"10552 Almayo Ave, Los Angeles, CA 90064","1,637 sqft","$2,195,000",34.0452526,-118.4206231
115,"8232 Skyline Dr, Los Angeles, CA 90046","2,953 sqft","$4,200,000",34.1199831,-118.3887424
116,"855 S Wooster St APT 300, Los Angeles, CA 90035","1,469 sqft","$925,000",34.061834,-118.3824769
117,"9301 W Cherokee Ln, Beverly Hills, CA 90210","10,998 sqft","$13,995,000",34.111719,-118.396556
118,"7300 Franklin Ave APT 554, Los Angeles, CA 90046",826 sqft,"$549,000",34.103354,-118.349094
119,"22851 Calvert St, Woodland Hills, CA 91367","7,600 sqft","$3,250,000",34.1811857,-118.6077185
120,"14934 Dickens St #12A-13, Sherman Oaks, CA 91403",670 sqft,"$499,000",34.151252,-118.458398
121,"3343 Wrightwood Dr, Studio City, CA 91604","2,345 sqft","$2,400,000",34.132371,-118.374069
122,"2496 Lancelot Ln, Los Angeles, CA 90077","9,350 sqft","$10,599,000",34.1141033,-118.4729181
123,"1551 Manning Ave PENTHOUSE 1, Los Angeles, CA 90024","2,189 sqft","$1,450,000",34.056135,-118.434759
124,"11813 Runnymede St APT 47, North Hollywood, CA 91605",750 sqft,"$285,000",34.205812,-118.389824
125,"5349 Newcastle Ave APT 31, Encino, CA 91316",941 sqft,"$489,000",34.167637,-118.52443
126,"405 N Fuller Ave, Los Angeles, CA 90036","2,782 sqft","$1,999,000",34.0784404,-118.3499102
127,"4084 Michael Ave, Los Angeles, CA 90066","1,893 sqft","$1,749,000",33.9924601,-118.438799
128,"11230 Dilling St, North Hollywood, CA 91602","1,416 sqft","$1,595,000",34.143161,-118.375746
129,"927 Marco Pl, Venice, CA 90291","2,604 sqft","$4,895,000",33.9949686,-118.4578388
130,"19811 Hamlin St, Woodland Hills, CA 91367","1,695 sqft","$949,900",34.188927,-118.564851
131,"7501 McConnell Ave, Los Angeles, CA 90045","1,400 sqft","$1,300,000",33.9728769,-118.4135203
132,"13254 Mercer St, Pacoima, CA 91331","1,102 sqft","$599,999",34.2691013,-118.421532
133,"814 Toulon Dr, Pacific Palisades, CA 90272","8,008 sqft","$23,995,000",34.0441299,-118.5094875
134,"1550 Blue Jay Way, West Hollywood, CA 90069","3,468 sqft","$8,499,000",34.1005199,-118.3868663
135,"12030 Valleyheart Dr UNIT 102, Studio City, CA 91604","1,359 sqft","$849,900",34.146825,-118.393171
136,"6131 Dalecrest Ave, Woodland Hills, CA 91367","1,886 sqft","$1,069,000",34.182317,-118.639982
137,"803 S Cloverdale Ave, Los Angeles, CA 90036","1,434 sqft","$1,599,900",34.0604461,-118.3469835
138,"1341 Sierra Alta Way, Los Angeles, CA 90069","2,574 sqft","$2,995,000",34.0945734,-118.3943782
139,"3140 San Marino St UNIT 103, Los Angeles, CA 90006","1,180 sqft","$675,000",34.05441,-118.2988053
140,"12748 Norris Ave, Sylmar, CA 91342","1,623 sqft","$735,000",34.3018109,-118.4517107
141,"8800 Burnet Ave UNIT 9, North Hills, CA 91343","1,212 sqft","$425,000",34.2300746,-118.4631763
142,"6179 Le Sage Ave, Woodland Hills, CA 91367","1,675 sqft","$1,399,000",34.182788,-118.641542
143,"20642 Acre St, Winnetka, CA 91306","1,479 sqft","$789,950",34.229789,-118.582767
144,"1610 N Crescent Heights Blvd, Los Angeles, CA 90069","3,270 sqft","$3,995,000",34.1007042,-118.3678153
145,"2040 N Las Palmas Ave, Los Angeles, CA 90068","1,845 sqft","$1,399,000",34.1069314,-118.3362255
146,"14327 Martha St, Van Nuys, CA 91401","2,100 sqft","$1,295,000",34.1731626,-118.4448451
